,t,Vdbx
450,8.318125,136.60663986903924
451,8.31875,136.66804258463716
452,8.319375,136.69985207466058
453,8.32,136.89202839252692
454,8.320625,137.02271990023146
455,8.32125,137.10553607660185
456,8.321875,137.13940866964984
457,8.3225,137.25097539049585
458,8.323125,137.35995020689901
459,8.32375,137.45361214303858
460,8.324375,137.50817120154127
461,8.325,137.61398578437402
462,8.325625,137.71513762138534
463,8.32625,137.72304363941595
464,8.326875,137.8363223904972
465,8.3275,137.9613332128327
466,8.328125,138.07481881243078
467,8.32875,138.1267008361018
468,8.329375,138.16433706178785
469,8.33,138.1879109193421
470,8.330625,138.1911205848235
471,8.33125,138.28157170778223
472,8.331875,138.35850844129482
473,8.3325,138.3794686098591
474,8.333125,138.39411069098242
475,8.33375,138.43684962811716
476,8.334375,138.494887049599
477,8.335,138.5299357854644
478,8.335625,138.5812224816953
479,8.33625,138.60267291682237
480,8.336875,138.56074412813766
481,8.3375,138.54535361621765
482,8.338125,138.5391897676055
483,8.33875,138.53816203410872
484,8.339375,138.53096449271237
485,8.34,138.50830474168492
486,8.340625,138.4762744218238
487,8.34125,138.43372950967205
488,8.341875,138.39097517937697
489,8.3425,138.33749757077368
490,8.343125,138.2773362379248
491,8.34375,138.25506607342646
492,8.344375,138.16970037757298
493,8.345,138.10079856152424
494,8.345625,138.16326400111097
495,8.34625,138.1245452610472
496,8.346875,138.082404269524
497,8.3475,138.06179973983888
498,8.348125,138.1277784230566
499,8.34875,138.123467272881
500,8.349375,138.11375935423706
501,8.35,138.21995432621287
502,8.350625,138.26567803520837
503,8.35125,138.32591989126263
504,8.351875,138.42540371019626
505,8.3525,138.5206719335769
506,8.353125,138.6108305972887
507,8.35375,138.67885205482523
508,8.354375,138.67177020393308
509,8.355,138.75136077200767
510,8.355625,138.81630417301602
511,8.35625,138.819289869856
512,8.356875,138.8619724601097
513,8.3575,138.9024754024424
514,8.358125,138.93788390204654
515,8.35875,138.97119324217923
516,8.359375,138.9525949476871
517,8.36,138.93297467813352
518,8.360625,138.9467135189748
519,8.36125,138.86593229133308
520,8.361875,138.81232164674816
521,8.3625,138.78339359250356
522,8.363125,138.72222863349708
523,8.36375,138.60165266784742
524,8.364375,138.50314654351797
525,8.365,138.51758178603
526,8.365625,138.41498522551416
527,8.36625,138.3185442339423
528,8.366875,138.24975522664647
529,8.3675,138.27203899458314
530,8.368125,138.24975522664647
531,8.36875,138.17934600836776
532,8.369375,138.03243528186715
533,8.37,137.9503425880105
534,8.370625,137.89960581855937
535,8.37125,137.87079687129324
536,8.371875,137.79499550528075
537,8.3725,137.77257450770452
538,8.373125,137.76920636070773
539,8.37375,137.7309424678221
540,8.374375,137.65845581205198
541,8.375,137.6048355179096
542,8.375625,137.59338411264108
543,8.37625,137.5428177956964
544,8.376875,137.535899524014
545,8.3775,137.54512266227172
546,8.378125,137.48963635398934
547,8.37875,137.47454761293358
548,8.379375,137.44895295578027
549,8.38,137.38463439461952
550,8.380625,137.43262609075106
551,8.38125,137.42678762199722
552,8.381875,137.37053773536408
553,8.3825,137.28547393608758
554,8.383125,137.3257467816839
555,8.38375,137.3951918956482
556,8.384375,137.43496037983743
557,8.385,137.4197762752115
558,8.385625,137.45128286181304
559,8.38625,137.51857969845855
560,8.386875,137.48731671460098
561,8.3875,137.53243832068546
562,8.388125,137.58765274348684
563,8.38875,137.58765274348684
564,8.389375,137.6048355179096
565,8.39,137.6686858736602
566,8.390625,137.77706333965872
567,8.39125,137.84968358729375
568,8.391875,137.83409352478367
569,8.3925,137.7994727680799
570,8.393125,137.84077840682582
571,8.39375,137.901817938688
572,8.394375,137.92611414932162
573,8.395,137.90071194904644
574,8.395625,137.90071194904644
575,8.39625,137.8841051828417
576,8.396875,137.853020677546
577,8.3975,137.80394772420058
578,8.398125,137.80282920129156
579,8.39875,137.80618433799896
580,8.399375,137.7938758288837
581,8.4,137.6959072789796
582,8.400625,137.69364208412048
583,8.40125,137.73770717972016
584,8.401875,137.6561808278488
585,8.4025,137.65504311226158
586,8.403125,137.67095758536087
587,8.40375,137.67549922710518
588,8.404375,137.72981450344963
589,8.405,137.7938758288837
590,8.405625,137.84300555802727
591,8.40625,137.771451937152
592,8.406875,137.78939567939014
593,8.4075,137.82517233808278
594,8.408125,137.82070830630622
595,8.40875,137.7860340501262
596,8.409375,137.82851885695987
597,8.41,137.9371354547441
598,8.410625,137.92942200958555
599,8.41125,137.90402949557787
600,8.411875,137.86413506119698
601,8.4125,137.8073024289625
602,8.413125,137.80282920129156
603,8.41375,137.7658369071303
604,8.414375,137.6879765111337
605,8.415,137.7185267960286
606,8.415625,137.68230724023337
607,8.41625,137.61741465064847
608,8.416875,137.57847467935133
609,8.4175,137.5910920187795
610,8.418125,137.57847467935133
611,8.41875,137.51626777679516
612,8.419375,137.51279874008335
613,8.42,137.52782123638377
614,8.420625,137.56583898499593
615,8.42125,137.64707492777427
616,8.421875,137.65504311226158
617,8.4225,137.68230724023337
618,8.423125,137.7703292214989
619,8.42375,137.86191332192456
620,8.424375,137.97669676136547
621,8.425,138.09863654791306
622,8.425625,138.1568228516589
623,8.42625,138.32697304550922
624,8.426875,138.50417842824007
625,8.4275,138.63322479368964
626,8.428125,138.75035784034694
627,8.42875,138.88175358830867
628,8.429375,139.0199466797761
629,8.43,139.12240772786038
630,8.430625,139.28707858584386
631,8.43125,139.45238678119247
632,8.431875,139.56452363349052
633,8.4325,139.6073405236955
634,8.433125,139.70134066301003
635,8.43375,139.85637040133358
636,8.434375,140.023420298828
637,8.435,140.08470732718936
638,8.435625,140.1216156543219
639,8.43625,140.2254865780945
640,8.436875,140.3431719697563
641,8.4375,140.42378598139877
642,8.438125,140.45928413035986
643,8.43875,140.54372923673472
644,8.439375,140.60389570713502
645,8.44,140.66123385076347
646,8.440625,140.75649501176684
647,8.44125,140.8578077945849
648,8.441875,140.9322441813689
649,8.4425,140.96961294947005
650,8.443125,141.03847832092214
651,8.44375,141.12284524118104
652,8.444375,141.21017951210595
653,8.445,141.25840527465326
654,8.445625,141.30487002372928
655,8.44625,141.36742836065287
656,8.446875,141.4582263170816
657,8.4475,141.537903877321
658,8.448125,141.61541493681443
659,8.44875,141.68866553573088
660,8.449375,141.74639824412802
661,8.45,141.77972237895827
662,8.450625,141.80374975150843
663,8.45125,141.82771084156735
