,t,Vdbz
548,77.405625,
549,77.40625,
550,77.406875,
551,77.4075,
552,77.408125,
553,77.40875,
554,77.409375,
555,77.41,
556,77.410625,
557,77.41125,
558,77.411875,
559,77.4125,
560,77.413125,
561,77.41375,
562,77.414375,
563,77.415,
564,77.415625,
565,77.41625,
566,77.416875,
567,77.4175,
568,77.418125,
569,77.41875,
570,77.419375,
571,77.42,
572,77.420625,
573,77.42125,
574,77.421875,
575,77.4225,
576,77.423125,
577,77.42375,
578,77.424375,
579,77.425,
580,77.425625,
581,77.42625,
582,77.426875,
583,77.4275,
584,77.428125,
585,77.42875,
586,77.429375,
587,77.43,
588,77.430625,
589,77.43125,
590,77.431875,
591,77.4325,
592,77.433125,
593,77.43375,
594,77.434375,
595,77.435,
596,77.435625,
597,77.43625,
598,77.436875,
599,77.4375,
600,77.438125,
601,77.43875,
602,77.439375,
603,77.44,
604,77.440625,
605,77.44125,
606,77.441875,
607,77.4425,
608,77.443125,
609,77.44375,
610,77.444375,
611,77.445,
612,77.445625,
613,77.44625,
614,77.446875,
615,77.4475,
616,77.448125,
617,77.44875,
618,77.449375,
619,77.45,
620,77.450625,
621,77.45125,
622,77.451875,
623,77.4525,
624,77.453125,
625,77.45375,
626,77.454375,
627,77.455,
628,77.455625,
629,77.45625,
630,77.456875,
631,77.4575,
632,77.458125,
633,77.45875,
634,77.459375,
635,77.46,
636,77.460625,
637,77.46125,
638,77.461875,
639,77.4625,
640,77.463125,
641,77.46375,
642,77.464375,
643,77.465,
644,77.465625,
645,77.46625,
646,77.466875,
647,77.4675,
648,77.468125,
649,77.46875,
650,77.469375,
651,77.47,
652,77.470625,
653,77.47125,
654,77.471875,
655,77.4725,
656,77.473125,
657,77.47375,
658,77.474375,
659,77.475,
660,77.475625,
661,77.47625,
662,77.476875,
663,77.4775,
664,77.478125,
665,77.47875,
666,77.479375,
667,77.48,
668,77.480625,
669,77.48125,
670,77.481875,
671,77.4825,
672,77.483125,
673,77.48375,92.66936911159172
674,77.484375,104.34967888427813
675,77.485,104.24375208807916
676,77.485625,106.56759206877476
677,77.48625,109.7991695884967
678,77.486875,110.52678554779689
679,77.4875,111.95390371851025
680,77.488125,113.38633761132223
681,77.48875,114.51823264590097
682,77.489375,115.9176003468815
683,77.49,116.61177337370289
684,77.490625,116.5473854610765
685,77.49125,117.4197762752115
686,77.491875,117.89739313490506
687,77.4925,118.14822721549172
688,77.493125,118.32907897099851
689,77.49375,118.7603819495242
690,77.494375,119.20941555068597
691,77.495,119.56361033874828
692,77.495625,120.06058941107236
693,77.49625,120.18901791597388
694,77.496875,120.09502311182003
695,77.4975,120.86724556042259
696,77.498125,121.00759512522914
697,77.49875,120.96106346231218
698,77.499375,121.1457128883643
699,77.5,121.38596024231057
700,77.500625,121.51823522965556
701,77.50125,121.4963288129035
702,77.501875,121.76272177401103
703,77.5025,121.81221415656813
704,77.503125,121.72719661349497
705,77.50375,121.67721601733146
706,77.504375,121.81221415656813
707,77.505,121.99361282218501
708,77.505625,122.15776050365598
709,77.50625,122.29221968464346
710,77.506875,122.38511778555873
711,77.5075,122.43119688375002
712,77.508125,122.49660298827719
713,77.50875,122.59379784398602
714,77.509375,122.78498435143214
715,77.51,123.20336585917025
716,77.510625,123.4462193704391
717,77.51125,123.51603265696559
718,77.511875,123.41110117042417
719,77.5125,123.76168747429875
720,77.513125,123.82902028929792
721,77.51375,123.73912670930824
722,77.514375,123.75605277436838
723,77.515,123.83460786725713
724,77.515625,123.93457445246574
725,77.51625,124.04431551602264
726,77.516875,124.19030029085262
727,77.5175,124.31275126870122
728,77.518125,124.4387119965601
729,77.51875,124.7156174065512
730,77.519375,125.00840004617787
731,77.52,125.21573337309952
732,77.520625,125.18231688370133
733,77.52125,125.13435491954974
734,77.521875,125.23477094705075
735,77.5225,125.51543800329864
736,77.523125,125.5933388809691
737,77.52375,125.70664455287769
738,77.524375,125.86725109422892
739,77.525,126.13278882048522
740,77.525625,126.32360197786906
741,77.52625,126.55943247246022
742,77.526875,126.91139512112784
743,77.5275,126.8366011384102
744,77.528125,126.82473246477385
745,77.52875,126.92314604464016
746,77.529375,127.1701182298047
747,77.53,127.39544577193925
748,77.530625,127.57885397226875
749,77.53125,127.68706828275013
750,77.531875,127.75491319217727
751,77.5325,127.74067402564727
752,77.533125,127.63673599996686
753,77.53375,127.80810312960162
754,77.534375,127.84338298979472
755,77.535,127.80102992917975
756,77.535625,127.77622826947047
757,77.53625,127.86448232722594
758,77.536875,127.95184868076234
759,77.5375,127.98655064317357
760,77.538125,127.94489162020773
761,77.53875,127.92398694191473
762,77.539375,127.92398694191473
763,77.54,127.92398694191473
764,77.540625,127.8187021420676
765,77.54125,127.7477965267746
766,77.541875,127.89953439109128
767,77.5425,128.04522764909362
768,77.543125,128.2054192850437
